,ticker,date,count,length,PctOld,PctRecombination,ExtentOld,ExtentRecombination,AbnPctOld,AbnPctRecombination,AbnRet,|AbnRet|,AbnVol,Stories,AbnStories,Terms,MCap,BM,AbnRetPrev5,AbnVolPrev5,Illiq
171,EBAY,20150422,1,476.0,1.0,1.0,0.83,0.2899999999999999,0.2874364809318529,0.07321575084832405,0.006714832418925437,0.006714832418925437,-0.0002585049699949495,1,0.0,476.0,24.9499778866348,6.546928070591275e-07,-0.013691058445755001,-0.008115611950784267,1.4732968204894172e-05
172,EBAY,20150619,1,104.0,0.0,0.0,0.24,0.06999999999999998,-0.287081162056112,-0.1939832523760764,-0.001559784549764378,0.001559784549764378,-0.0004132498734981654,1,-0.01818181818181818,104.0,25.025288702709467,6.071982309918343e-07,0.006597708223362466,-0.004635309983989877,8.073465940573083e-06
173,EBAY,20150714,1,245.0,1.0,1.0,0.98,0.6799999999999999,0.4448310231674185,0.4379687910705576,-0.01012216374028868,0.01012216374028868,-0.004029145875941766,1,-0.03636363636363636,245.0,25.06981153509686,5.913383861549708e-07,0.027688607294055673,-0.0008890500386629352,1.6199423392051452e-05
174,EBAY,20150716,2,352.5,1.0,0.5,0.77,0.28,0.2519215642338529,0.050352963557934734,0.03428411415023389,0.03428411415023389,0.027213882825466617,2,0.16363636363636364,352.5,25.09965521711647,5.739514075727726e-07,0.023392242540201696,0.0018913616428176054,1.3131174318617175e-05
175,EIGI,20150706,1,211.0,1.0,1.0,0.99,0.95,0.4563589588546817,0.7032800321665278,0.032526473059980514,0.032526473059980514,0.02620648239268367,1,0.0,211.0,21.675150891483998,6.74562180362681e-07,-0.026602431093376164,-0.01508131843103722,0.001644341418845989
176,EMC,20150526,1,237.0,1.0,1.0,0.97,0.28,0.43517484308500604,0.036895470564642485,-0.018378750446770908,0.018378750446770908,-0.026912740881459327,1,0.0,237.0,24.67277073696637,8.340066184213112e-07,-0.005045543027852975,-0.005865872565397231,1.3956736037456146e-05
177,EMC,20150722,1,284.0,1.0,1.0,0.61,0.25,0.0732714056686713,0.012962335962009769,0.022380032280820673,0.022380032280820673,0.0103499449952351,1,-0.01818181818181818,284.0,24.596245065055207,9.330684921419095e-07,-0.02755663291815687,-0.008149255160170208,1.1693974546511159e-05
178,ENDP,20150311,2,327.5,0.5,0.5,0.665,0.28,0.1477397554987805,0.047562677748422655,0.0034358648878740853,0.0034358648878740853,-0.02077314105937237,2,0.0,327.5,23.483510894906566,6.903196996974504e-07,0.05291720673000832,0.0009646373792559788,6.902928130103907e-05
179,ENDP,20150316,2,237.5,1.0,1.0,0.93,0.73,0.4161722199284047,0.4864086852200234,0.03194647711422421,0.03194647711422421,0.020285296044148946,2,0.4,237.5,23.483286226291828,6.904748102916976e-07,0.021217811355030564,-0.005552050607911384,6.420994035856223e-05
180,EPD,20150601,1,475.0,0.0,0.0,0.51,0.34,-0.03253855290881147,0.12312446099251295,-0.003057244535927454,0.003057244535927454,-0.01450303341376611,1,0.0,475.0,24.895830469616726,7.167713782055333e-07,-0.039326431256644305,-0.013778079059675352,0.00014746061187500664
181,ESRX,20150430,1,236.0,0.0,0.0,0.16,0.08,-0.3747815419662083,-0.16323994542270498,0.02303960744466326,0.02303960744466326,0.011161005509339962,1,0.0,236.0,24.847525093898053,8.395894927438083e-07,-0.026177150437233895,-0.010434399427508423,2.9654693325210013e-05
182,EXC,20150515,1,85.0,1.0,1.0,0.81,0.3200000000000001,0.284585050846497,0.05258865621443798,0.0171505246231108,0.0171505246231108,0.02299835047674751,1,0.0,85.0,24.09108947106805,3.0118926496294076e-06,-0.02007210249644955,-0.007385571094169044,6.426931528290656e-05
