date,mcap,WeightedReturn,WeightedTurnover,ValueWeightedReturn,ValueWeightedTurnover
20141112,12743999112.199203,1759224.4804084187,75671690.96069142,0.00013804336181445583,0.005937829271210058
20141113,12805239964.482895,28927851.876374766,87790532.34444085,0.002259063629936664,0.006855828753536837
20141114,12825813815.748627,11316748.612496436,76914200.22390199,0.0008823415632777054,0.0059968280632188955
20141117,12803459271.144934,1098462.9819866023,84742872.39885734,8.57942340990767e-05,0.006618748152684154
20141118,12836741562.894333,61382787.41801926,81392780.86254899,0.004781804410197935,0.0063406106965510295
20141119,12886672858.153505,-21704206.49282191,80491480.07863368,-0.0016842366320403235,0.006246102540556545
20141120,12815157536.741135,20990435.088236954,74683592.41398144,0.0016379381235117282,0.005827754532073689
20141121,13031428715.755161,61670690.27916368,92768965.2285507,0.0047324580922276805,0.007118863729530428
20141124,12973453616.615156,39571398.88695158,76424167.24044757,0.0030501823227912363,0.005890811305832305
20141125,13008911673.86577,-12172616.098304609,85346502.97953641,-0.0009357136402700592,0.006560618222275513
20141126,12989028084.250645,51581456.97074874,60091419.76732383,0.0039711560123033285,0.004626321490534416
20141128,13004084954.914331,1923310.3896490675,53919312.72870263,0.00014790047868168038,0.004146336548526327
20141201,12955644789.910336,-96496449.55161732,92477660.69666679,-0.007448216674384846,0.0071380207003426815
20141202,12913596527.291992,78195456.88408682,82004768.57380293,0.006055281092205888,0.006350265659957049
20141203,12993670979.722391,32371646.409809694,80084812.41149212,0.0024913395498722497,0.006163370808485958
20141204,12998780461.594246,-4217103.080851914,71260188.71279575,-0.0003244229790103482,0.005482067254181165
20141205,13028248576.34394,25014492.575814385,74380065.74809761,0.001920019596589098,0.0057091377488109425
20141208,13011258123.700632,-96452131.05017242,84683697.73023865,-0.007412974989288716,0.006508494176745538
20141209,12785592536.8272,-21357923.16919906,87096630.07017912,-0.0016704679980752086,0.006812091799367832
20141210,12894692957.554092,-207037155.09986153,91422666.66665845,-0.016055997283640093,0.007089945217586616
20141211,12755329165.959143,55937156.05457522,83182969.61752418,0.004385394945655955,0.006521428693468704
20141212,12681120583.017538,-198688728.91412044,89649511.2388049,-0.015668073465069238,0.0070695259659357594
20141215,12661007894.113064,-82550540.47873661,94788770.75525184,-0.0065200607383808515,0.007486668640284584
20141216,12425388149.449526,-130399298.39999978,103814493.30568804,-0.010494585507638793,0.00835503020565899
20141217,12402986788.418621,247881021.1636718,97010546.87428457,0.019985591002574677,0.007821547223195374
20141218,12801713105.45879,318648067.2170698,104789387.3902785,0.024891048923850263,0.008185575362222043
20141219,12920662719.29988,50330683.30165651,141962623.4514574,0.0038953639139946324,0.010987255571605061
20141222,12954746789.333338,47044544.5213645,82602955.81816633,0.003631452261197415,0.006376269421659391
20141223,13065245801.057629,11277237.201279735,75102825.9146027,0.0008631477258825735,0.005748290316017104
20141224,13044675710.290688,1561453.8034403282,31884406.749751396,0.0001197004692273437,0.002444246791401523
